Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,"In February 2025, how many new branches Muthoot Finance received approval to open from the RBI?",75,88,95,110,115,115
2,"In February 2025, what is the total penalty imposed by SEBI on three foreign portfolio investors, Nexpact Ltd, AIRD Investment Commercial LLC, and Aviator Global Investment Fund?",Rs 20 lakh,Rs 30 lakh,Rs 40 lakh,Rs 50 lakh,Rs 60 lakh,Rs 50 lakh
3,Who has been appointed as the new Chairman of Securities and Exchange Board of India (SEBI)?,Arvind Subramanian,Raghuram Rajan,Ajay Tyagi / अजय,Tuhin Kanta Pandey,None of the above,Tuhin Kanta Pandey
4,Which regulatory body imposed a Rs 5.05 crore penalty on the Indian Clearing Corporation (ICCL) in February 2025?,RBI,SEBI,NABARD,IRDAI,SBI,SEBI
5,"Which two organizations are jointly organizing the ""Innovate with GoIStats"" Hackathon?",Ministry of Finance and RBI,NITI Aayog and MyGov,Ministry of Statistics and Programme Implementation (MoSPI) and MyGov,Ministry of Science & Technology and NPC,SEBI and Ministry of Corporate Affairs,Ministry of Statistics and Programme Implementation (MoSPI) and MyGov
6,Which state government is collaborating with the Indian Navy for the conversion of Ex INS Guldar?,Himachal Pradesh,Maharashtra,Goa,Punjab,Gujarat,Maharashtra
7,Which country issued aviation warnings following the eruption of Mount Dukono?,Indonesia,Sweden,Bhutan,Mauritius,Dubai,Indonesia
8,Which organization has signed an MoU with the Government of Madhya Pradesh for a solar project?,Solar Energy Corporation of India Ltd,Hindustan Aeronautics Limited,South Eastern Coalfields Limited (SECL),Steel Authority of India Limited,Bharat Heavy Electricals Limited,Solar Energy Corporation of India Ltd
9,What is the name of the witness protection scheme launched by the Haryana government in Feb 2025?,Haryana Crime Prevention Scheme 2025,Haryana Witness Security Program,Haryana Witness Protection Scheme 2025,Haryana Law Enforcement Initiative,Haryana Justice and Safety Act 2025,Haryana Witness Protection Scheme 2025
10,Which athlete secured the women’s title at the New Delhi Marathon 2025?,Parul Chaudhary,Sanjivani Jadhav,Bhagirathi Bisht,Hima Das,Jyoti Gawate,Bhagirathi Bisht
11,Where will the 12th Regional 3R and Circular Economy Forum be held in India from 3 – 5 March?,Delhi,Mumbai,Sonipat,Bengaluru,Jaipur,Jaipur
12,"Startups, Women, and Youth Advantage through eTransactions (SWAYATT) initiative launched in which year ?",2018,2019,2020,2021,2022,2019
13,Which team won the 71st Senior National Men's Kabaddi Championship 2025?,Railways,Haryana,Maharashtra,Services,Karnataka,Services
14,What was the theme of the ‘Bordermen Marathon 2025’?,"""Run for the Nation""","""Strength in Unity""","""Hand in Hand with Border Population""","""Fitness First, Duty Always""","""Bravehearts of the Borders""","""Hand in Hand with Border Population"""
15,Renowned Odissi dancer Mayadhar Raut passed away at 92. He was honoured with Padma Shri in which year ?,2002,2008,2010,2012,2015,2010
16,Which government body is responsible for implementing the Income Tax Bill 2025?,Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Income Tax Department & Central Board of Direct Taxes (CBDT),Ministry of Corporate Affairs,National Payments Corporation of India (NPCI),Income Tax Department & Central Board of Direct Taxes (CBDT)
17,"Recently, what is the maximum withdrawal amount permitted per depositor by RBI from New India Co-operative Bank?",Rs.10000,Rs.15000,Rs.20000,Rs.25000,Rs.30000,Rs.25000
18,Association of Mutual Funds in India established in which year ?,1959,1965,1978,1984,1995,1995
19,The Reserve Bank of India (RBI) has announced an increasein the small value loan ceiling for Urban Co-operative Banks (UCBs) to ____ per borrower.,Rs 1 crore,Rs 2 crore,Rs 3 crore,Rs 4 crore,Rs 5 crore,Rs 3 crore
20,The government has asked private insurers to increase thefree-look period for policyholders from one month to ____.,4 Month,5 Month,8 Month,10 Month,1 Year,1 Year
