Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,What is the name of India’s first domestic Protection and Indemnity (P&I) insurance entity being set up?,Bharat Marine Club,India Shipping Assurance,India Club,Maritime Security Corporation,Coastal Care Alliance,India Club
2,Who inaugurated the 435 MW Gorbea Solar Power Project developed by Zelestra India in Rajasthan?,Shri Hardeep Singh Puri,Shri R. K. Singh,Shri Pralhad Joshi,Shri Ashwini Vaishnaw,Shri Dharmendra Pradhan,Shri Pralhad Joshi
3,"According to the World Bank, what is India's global rank among the world's most equal societies based on the Gini Index?",1st,2nd,3rd,4th,5th,4th
4,Who has been appointed as the Deputy Chief Information Security Officer (CISO) at State Bank of India (SBI) in 2025?,Rekha Menon,Ramesh Lakshminarayanan,Shalini Warrier,Ramesh Narayanan,Babitha B P,Babitha B P
5,Which Indian ministry has launched a campaign to display nutritional information about popular snacks to raise awareness about hidden sugars and fats?,Ministry of Food Processing Industries,Ministry of Education,Ministry of Health and Family Welfare,Ministry of Consumer Affairs,Ministry of AYUSH,Ministry of Health and Family Welfare
6,Under which Article of the Indian Constitution did Jagdeep Dhankhar resign as Vice President of India in 2025?,Article 66,Article 67(a),Article 91,Article 75,Article 80,Article 67(a)
7,In which country was a replica of the Ashoka Pillar unveiled at the Waskaduwa Sri Subhuthi Viharaya temple?,Nepal,Sri Lanka,Bhutan,Myanmar,Thailand,Sri Lanka
8,What is the estimated value of India’s pharma exports to the UK in FY24?,$500 million,$750 million,$1.1 billion,$914 million,$1.5 billion,$914 million
9,What is the name of the bill passed by the UK Parliament that allows terminally ill patients to opt for assisted dying?,Assisted Dying for Terminally Ill Bill,Euthanasia Regulation Bill,Terminally Ill Adults (End of Life) Bill,Compassionate Exit Act,Right to Die Law,Terminally Ill Adults (End of Life) Bill
10,What is the focus of the Global Tobacco Epidemic 2025 report released by the WHO?,Increasing tobacco farming subsidies,Promoting tobacco in media,Reducing taxes on tobacco,Development of e-cigarettes,MPOWER measures for tobacco control,MPOWER measures for tobacco control
11,‘Adamya’ is the first Fast Patrol Vessel (FPV) inducted into which force?,Indian Coast Guard,Indian Navy,Indian Army,Border Security Force,Indo-Tibetan Border Police,Indian Coast Guard
12,"Which prestigious Indian literary award, known for its Rs.25 lakh prize, was discontinued after its 7th edition in 2024?",Sahitya Akademi Award,JCB Prize for Literature,Booker Prize India Edition,DSC Prize for South Asian Literature,Tagore Literary Prize,JCB Prize for Literature
