Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,The Union Finance Ministry has introduced a one-time switch facility allowing central government employees to move from which scheme to the National Pension System (NPS)?,Employee Provident Fund (EPF),General Provident Fund (GPF),Unified Pension Scheme (UPS),Atal Pension Yojana (APY),Contributory Pension Scheme (CPS),Unified Pension Scheme (UPS)
2,Which bank recorded the highest credit card spend in July 2025?,State Bank of India (SBI),Punjab National Bank (PNB),ICICI Bank,Yes Bank Limited,HDFC Bank,HDFC Bank
3,Which official reviewed the performance of India Post and India Post Payments Bank (IPPB) in New Delhi?,Minister of Finance,Minister of State for Communications,Prime Minister of India,Governor of RBI,Minister of Electronics & IT,Minister of State for Communications
4,The Reserve Bank of India (RBI) has launched the September 2025 round of which surveys to gauge consumer confidence?,Both UCCS and RCCS,Rural Consumer Confidence Survey (RCCS),Urban Consumer Confidence Survey (UCCS),Consumer Expenditure Survey,Economic Outlook Survey,Both UCCS and RCCS
5,India will sign a pact with which UN-mandated body in September 2025 for exploration of critical minerals in the Indian Ocean?,UNDP,UNEP,UNCTAD,International Seabed Authority (ISA),UNESCO,International Seabed Authority (ISA)
6,The Indian Army is conducting the “Terrier Cyber Quest 2025” in collaboration with which institute to address defence and cybersecurity threats?,IIT Madras,IIT Delhi,IISc Bangalore,DRDO,NIT Warangal,IIT Madras
7,"As per Capitaline data, which company reported the highest net profit among India’s unlisted companies in FY25?",Reliance Jio,NSE,Tata Sons,Reliance Retail,Mahanadi Coalfield,Tata Sons
8,"Rashtriya Raksha University (RRU) signed an MoU with which security force to enhance cooperation in training, research, and academic development related to national security?",Central Reserve Police Force (CRPF),Border Security Force (BSF),Indo-Tibetan Border Police (ITBP),Sahastra Seema Bal (SSB),Central Industrial Security Force (CISF),Sahastra Seema Bal (SSB)
9,What is the name of India’s first indigenous Medium Altitude Long Endurance (MALE) Autonomous Combat Aircraft unveiled under the Atmanirbhar Bharat initiative?,DRDO Nishant,HAL Tejas UAV,FWD Kaal Bhairava,Astra MALE,Prahaar Drone,FWD Kaal Bhairava
10,When was the Pradhan Mantri Jan Dhan Yojana (PMJDY) launched?,15 August 2015,28 August 2014,2 October 2016,1 January 2015,28 August 2015,28 August 2014
