Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Why did RBI impose a monetary penalty of Rs.31.80 lakh on IDBI Bank Limited in April 2025?,Charging excess interest in KCC accounts,Delayed reporting of NPA,KYC norms violation,Non-submission of audit reports,Misuse of digital lending apps,Charging excess interest in KCC accounts
2,Under which section of the Companies Act is the RoC authorized to strike off companies from official records?,Section 234,Section 199,Section 210,Section 275,Section 248,Section 248
3,What technology is used in India's newly launched chip-based e-passports?,NFC,RFID,QR Code,Blockchain,OTP-based Encryption,RFID
4,Which country recently launched the 10-year ‘Blue Residency’ visa for contributors to sustainability and environmental protection?,United Arab Emirates,Qatar,Saudi Arabia,Bahrain,Oman,United Arab Emirates
5,Which museum in Kerala has been recently added to the Global Network of Water Museums?,"Living Water Museum, Pune","Jal Water Museum, Udaipur","Water Heritage Museum, Kozhikode","Indian Water Legacy Museum, Chennai","Blue Planet Museum, Hyderabad","Water Heritage Museum, Kozhikode"
6,"Which Indian state recently notified the country’s largest conservation reserve, Tsarap Chu, to protect snow leopards and high-altitude biodiversity?",Uttarakhand,Sikkim,Jammu & Kashmir,Himachal Pradesh,Arunachal Pradesh,Himachal Pradesh
7,Which Indian city has been declared the country’s first beggar-free city as of 2025?,Bhopal,Jaipur,Indore,Pune,Surat,Indore
8,Who recently declared the symbolic independence of the “Republic of Balochistan” and appealed to the UN for recognition?,Brahamdagh Bugti,Allah Nazar Baloch,Mir Yar Baloch,Hyrbyair Marri,Aslam Baloch,Mir Yar Baloch
9,"What are the two new Fixed Deposit schemes launched by Indian Bank effective from May 8, 2025?",IND GOLD & IND GREEN,IND SECURE & IND GREEN,IND SUPER & IND PRIME,IND GROW & IND SAVE,IND PRIME & IND FUTURE,IND SECURE & IND GREEN
10,What is the reason RBI imposed a penalty of rs.29.60 lakh on Yes Bank in May 2025?,Fraud in loan disbursal,Violation of KYC norms,Incorrect reporting of customer complaints,Delay in CRR submission,Misuse of funds,Incorrect reporting of customer complaints
11,"As per the May 2025 RBI circular, to which country has Exim Bank of India extended a USD 700 million Line of Credit for a crude oil refinery project?",Kazakhstan,Bangladesh,Russia,Mongolia,Uzbekistan,Mongolia
