Q#,question,option1,option2,option3,option4,option5,answer
1,Where is Safran Aircraft Engine Services India setting up the first MRO facility outside France for Rafale’s M88 engines?,Bengaluru,Pune,Hyderabad,Chennai,Nagpur,Hyderabad
2,Who won the Ramsar Award for ‘Wetland Wise Use’ in 2024?,Medha Patkar,Jayshree Vencatesan,Sunita Narain,Vandana Shiva,Maneka Gandhi,Jayshree Vencatesan
3,Where was the new corporate office of the Security Printing and Minting Corporation of India Limited (SPMCIL) inaugurated?,Mumbai,Hyderabad,Kolkata,Noida,"World Trade Centre, New Delhi","World Trade Centre, New Delhi"
4,What new rule has the NPCI introduced for UPI apps effective from 30 June 2025?,Only QR code-based payments will be allowed,"Maximum UPI limit reduced to Rs.50,000",Payment reminders must be disabled,UPI apps must charge a transaction fee,"Recipient's verified bank name must be shown, not custom names","Recipient's verified bank name must be shown, not custom names"
5,Who was awarded the prestigious Raja Ramanna Chair by the Department of Atomic Energy in 2025?,Tessy Thomas,Ritu Karidhal,Manorama Sunkara Vardhireddy,Soumya Swaminathan,Gagandeep Kang,Manorama Sunkara Vardhireddy
6,What is the primary objective of the Ministry of Ayush’s 'Y-Break' initiative?,Promote yoga in schools,Offer 30-minute yoga classes,Encourage 5-minute workplace wellness breaks,Train yoga instructors for rural areas,Provide yoga therapy for chronic diseases,Encourage 5-minute workplace wellness breaks
7,Which company recently received final regulatory approval from IN-SPACe to offer commercial satellite broadband services in India?,OneWeb,Jio-SES JV,Starlink Satellite Communications Pvt. Lt,D. Hughes Communications,Viasat,Starlink Satellite Communications Pvt. Lt
8,Who has been appointed as the new Chairperson of the Governing Board of the National Stock Exchange of India Limited (NSE)?,Ashishkumar Chauhan,Girish Chandra Chaturvedi,Subhash Chandra Khuntia,Ajay Tyagi,Injeti Srinivas,Injeti Srinivas
9,Which civilian honour was conferred upon PM Narendra Modi by Namibia in July 2025?,Order of the Rising Sun,Order of the Baobab,Order of the Leopard,Order of the Most Ancient Welwitschia Mirabilis,Order of Unity,Order of the Most Ancient Welwitschia Mirabilis
10,Which rare mineral found in Gujarat’s Kachchh region is being studied by Indian researchers as a potential geological clock for Mars exploration?,Hematite,Jarosite,Magnetite,Gypsum,Goethite,Jarosite
11,Why has the Department of Posts temporarily suspended booking of most postal items to the USA from 25th August 2025?,Due to closure of postal services in the USA,Due to Executive Order removing duty-free exemption for goods above USD 800,Due to strike by postal workers in India,Due to weather disruptions affecting flights,Due to increase in postal rates,Due to Executive Order removing duty-free exemption for goods above USD 800
