Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Which committee proposed the elevation of seven Chief General Managers to Executive Director positions in various Public Sector Banks?,Reserve Bank of India Committee,Finance Ministry Advisory Committee,Appointments Committee of the Cabinet (ACC),Public Sector Bank Board,Banking Regulatory Committee,Appointments Committee of the Cabinet (ACC)
2,"What is the total deposit under PMJDY as of November 19, 2025?",₹1.95 lakh crore,₹2.50 lakh crore,₹2.75 lakh crore,₹3.10 lakh crore,₹4.00 lakh crore,₹2.75 lakh crore
3,"As of September 2025, what share of new home loans by value is held by Public Sector Banks (PSBs) in India?",30%,40%,50%,60%,70%,50%
4,What grade has the IMF given to India’s national accounts statistics in its annual review?,A,B,C,D,None of the above,C
5,What new feature did the BHIM app introduce for UPI Circle?,QR Code Payments,Full Delegation for Payments,Contactless NFC Payments,Bill Splitting,Cross-Bank Transfers,Full Delegation for Payments
6,"Which SBI-promoted entity plans to raise ₹ 2,000 crore for its third climate- focused fund to invest in startups?",SBI Capital Markets,SBI Mutual Fund,SBI Ventures,SBI Life Insurance,SBI Holdings,SBI Ventures
7,Who launched the Cyber Security Innovation Challenge (CSIC) 1.0 under the Information Security Education and Awareness Project?,Ashwini Vaishnaw,S Krishnan,Rajeev Chandrasekhar,Ajay Prakash Sawhney,Abhishek Singh,S Krishnan
8,India–UAE bilateral trade in FY 2024–25 crossed which milestone during the 3rd CEPA Joint Committee meeting?,USD 50 billion,USD 75 billion,USD 90 billion,USD 100 billion,USD 120 billion,USD 100 billion
9,Which Indian military operation is being officially commemorated after 38 years?,Operation Meghdoot,Operation Vijay,Operation Cactus,Operation Shakti,Operation Pawan,Operation Pawan
10,Which country proposed the name ‘Ditwah’ for the cyclonic storm that developed in the southwest Bay of Bengal?,Thailand,UAE,Yemen,Bangladesh,India,Yemen
11,"Which type of plant did Union Minister Pralhad Joshi inaugurate in Rewari, Haryana?",Pellet & Bio-Ethanol Plant,Solar Power Plant,Nuclear Power Plant,Wind Energy Plant,Steel Manufacturing Plant,Pellet & Bio-Ethanol Plant
12,C-DOT and IIT Roorkee have signed an MoU to establish a Centre of Excellence in which field?,Renewable Energy,Advanced Communication Technologies,Robotics & Automation,Biotechnology,Defence Systems,Advanced Communication Technologies
13,Who has been selected for the Lok Nayak Foundation Literary Award (LNF) 2025?,Velamala Simmanna,K. Siva Reddy,Yarlagadda Lakshmi Prasad,Varaprasad Reddy,J. Ramachandra Murthy,Velamala Simmanna
14,What was India’s total foodgrain production in the 2024-25 crop year?,332.29 million tonnes,345.00 million tonnes,357.73 million tonnes,360.50 million tonnes,370.00 million tonnes,357.73 million tonnes
15,Which country may become the second foreign buyer of India’s BrahMos missile system?,Vietnam,Indonesia,UAE,Malaysia,Thailand,Indonesia
16,Which major military systems has the United States approved for sale to India in 2025?,FGM-148 Javelin & M982A1 Excalibur,Patriot Missile System & AH-64 Apache,F-35 Fighter Jets & Tomahawk Missiles,T-90 Tanks & BrahMos Missiles,S-400 Air Defence System & M777 Howitzer,FGM-148 Javelin & M982A1 Excalibur
17,Which two states received their first Doppler Weather Radars recently?,Odisha & Kerala,Karnataka & Chhattisgarh,Gujarat & Maharashtra,Bihar & Jharkhand,Tamil Nadu & Rajasthan,Karnataka & Chhattisgarh
18,What is the name of India’s first indigenous CRISPR-based gene therapy launched to treat Sickle Cell Disease?,GEN-Heal 1,BIRSA 101,CRISPR-Cure,IGIB-Thera,SCD-Free India Gene,BIRSA 101
19,What is the total outlay approved for the Tex-RAMPS Scheme?,₹150 crore,₹250 crore,₹305 crore,₹500 crore,₹1000 crore,₹305 crore
20,"Which plant did Union Minister Pralhad Joshi inaugurate in Rewari, Haryana?",K2 Bio Ethanol Plant,Pellet Plant,Both Pellet Plant & K2 Bio Ethanol Plant,Solar Energy Plant,Wind Energy Plant,Both Pellet Plant & K2 Bio Ethanol Plant
21,What is the key update in Bharat NCAP 2.0 draft released by the government?,Relaxed vehicle safety standards,Optional safety features,Focus only on fuel efficiency,Reduced crash tests,Stricter vehicle safety standards,Stricter vehicle safety standards
22,Assam Cabinet has approved ST status for how many communities?,4,5,6,7,8,6
23,When is the International Day for the Elimination of Violence Against Women observed?,8 March,15 October,25 November,10 December,1 January,25 November
