Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,What does the Ministry of Finance’s Monthly Economic Review (October) highlight about India’s economy?,Domestic economy showing stability and resilience,Sharp decline in automobile and tractor sales,Record low services exports,Manufacturing and services PMI indicate contraction,Inflation rising sharply,Domestic economy showing stability and resilience
2,RBI launched NSFI 2025-30 at the meeting of which body?,Monetary Policy Committee,FSDC Sub-Committee,Financial Inclusion Advisory Board,SEBI Board,DFS Review Committee,FSDC Sub-Committee
3,Punjab National Bank recently appointed which sportsperson as its first-ever female brand ambassador?,Smriti Mandhana,PV Sindhu,Harmanpreet Kaur,Sakshi Malik,Mithali Raj,Harmanpreet Kaur
4,Tata Realty & Infrastructure recently partnered with which bank for a green loan facility?,HDFC Bank,ICICI Bank,DBS Bank India,SBI,Axis Bank,DBS Bank India
5,Which bank appointed Ranbir Kapoor and Rashmika Mandanna as brand ambassadors?,Equitas SFB,Ujjivan SFB,AU Small Finance Bank,ESAF SFB,Jana SFB,AU Small Finance Bank
6,ADB recently approved a $650 million loan for India. What is the main purpose of this loan?,Highways Development,Rooftop Solar Adoption,Agriculture Financing,Smart Cities Mission,Defence Modernisation,Rooftop Solar Adoption
7,What is the current Foreign Direct Investment (FDI) limit in Public Sector Banks (PSBs)?,49%,74%,20%,26%,35%,20%
8,What is the purpose of Axis Bank’s ‘Flashback’ programme?,To provide financial planning workshops for senior citizens,To offer nostalgic film screenings and strengthen cultural connection with elderly customers,To promote digital banking adoption among senior citizens,To provide health check-up camps for elderly customers,To offer discounted loans to senior citizens,To offer nostalgic film screenings and strengthen cultural connection with elderly customers
9,How many UPI transactions were recorded in November 2025?,18.5 billion,19.7 billion,20.47 billion,21.8 billion,22.5 billion,20.47 billion
10,Which two new plans were recently launched by LIC?,Jeevan Shanti & Jeevan Labh,Bima Kavach & Protection Plus,Saral Suraksha & Jeevan Umang,Dhan Rekha & New Endowment Plan,Jeevan Anand & Jeevan Labh Plus,Bima Kavach & Protection Plus
11,What did RBI Deputy Governor Poonam Gupta state about inflation forecasting and BoP data?,RBI intentionally overestimates inflation,RBI inflation forecasts have systematic bias,RBI forecasts may have errors but no bias; BoP data to be released monthly,RBI will discontinue Balance of Payments data,RBI uses only historical data for forecasting,RBI forecasts may have errors but no bias; BoP data to be released monthly
12,Which bank falls under Bucket 4 in RBI’s 2025 D-SIB list?,HDFC Bank,ICICI Bank,State Bank of India,Axis Bank,Punjab National Bank,State Bank of India
13,For what achievement did ICAI earn a Guinness World Record recently?,Largest audit conducted in a day,Largest career advice session in a single day,Most students enrolled in accounting courses,Longest continuous online lecture,Largest donation by an educational institute,Largest career advice session in a single day
14,What is the purpose of the four-member committee formed by EPFO?,To reduce EPF contribution rates,To investigate financial frauds in EPFO,To restructure workforce and enhance subscriber services,To privatize EPFO operations,To launch new pension schemes,To restructure workforce and enhance subscriber services
15,What is the main objective of the Pradhan Mantri MUDRA Yojana (PMMY) and the ‘Aapki Poonji Aapka Adhikar’ campaign?,To provide education loans to students,To fund small & micro entrepreneurs and raise awareness on unclaimed financial assets,To build new banking infrastructure in rural areas,To offer insurance to all citizens,To increase government tax revenue,To fund small & micro entrepreneurs and raise awareness on unclaimed financial assets
16,What is the new name of the PMO complex earlier known as the ‘Executive Enclave’?,Rajya Sadan,Seva Teerth,Kartavya Path Bhavan,Lok Kalyan Sadan,Rashtriya Prashasan Kendra,Seva Teerth
17,Which product was recently awarded the Geographical Indication (GI) tag?,Coorg Coffee,Darjeeling Mandarin Orange,Assam Kaji Nemu,Nagpur Orange,Sikkim Large Cardamom,Darjeeling Mandarin Orange
18,"As of October 2025, what is India’s installed electricity capacity from non-fossil fuel sources?",200 GW,220 GW,259 GW,275 GW,300 GW,259 GW
19,"What is ‘1 Bio’, recently launched by the Government of Telangana?",India’s first AI semiconductor fabrication unit,India’s first single-use bioprocess design and scale-up facility,India’s first vaccine storage hub,India’s first genomics research university,India’s first nano-materials testing centre,India’s first single-use bioprocess design and scale-up facility
20,Which region is known for the traditional practice of cliff-honey hunting?,Assam,Nagaland,Meghalaya,Mizoram,Arunachal Pradesh,Nagaland
21,Which organisation will operate the upcoming ‘Bharat Taxi’ ride-hailing app?,ONDC,Sahakar Taxi Co-operative Ltd,NITI Aayog,Ministry of Road Transport,NRSC,Sahakar Taxi Co-operative Ltd
22,What was the impact of the recent marine heatwave on Ningaloo Reef?,Minimal coral bleaching,~70% coral mortality,Complete destruction of marine life,No significant impact,Only affects fish species,~70% coral mortality
23,Indian Railways promoted three women cricketers to which officer-grade post?,Group ‘C’ Officer,Group ‘A’ Officer,Group ‘B’ Officer (OSD – Sports),Junior Engineer,Assistant Coach,Group ‘B’ Officer (OSD – Sports)
