Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Which country will host the G20 Summit in 2026?,India,USA,France,South Africa,Brazil,USA
2,Which country hosted the G7 Summit in 2025?,Germany,Italy,Canada,Japan,France,Canada
3,ASEAN Summit 2027 will be hosted by which country?,Malaysia,Singapore,Philippines,Thailand,Indonesia,Singapore
4,Which country will host the SCO Summit in 2026?,China,Krygystan,Russia,Pakistan,Uzbekistan,Krygystan
5,BRICS Summit 2025 will be hosted by which country?,India,China,Brazil,Russia,South Africa,Brazil
6,The NATO Summit 2026 will be hosted by which country?,Netherlands,Turkiye,Albania,UK,Denmark,Turkiye
7,Which country will host the ASEAN Summit in 2025?,Malaysia,Vietnam,Laos,Philippines,Brunei,Malaysia
8,Which of the following is a member of EFTA?,Russia,Norway,Armenia,Kazakhstan,Georgia,Norway
9,Which country will host the SCO Summit in 2025?,Russia,India,China,Uzbekistan,Kazakhstan,China
10,MERCOSUR group does NOT include which country?,Argentina,Uruguay,Paraguay,Brazil,Belarus,Belarus
11,The G20 Troika for 2025 includes which countries?,Germany-Brazil-India,Brazil-South Africa-USA,Italy-Japan-France,India-Russia-USA,China-Japan-Brazil,Brazil-South Africa-USA
12,Which of the following is NOT a member of the Eurasian Economic Union (EAEU)?,Kazakhstan,Belarus,Kyrgyzstan,Russia,Thailand,Thailand
