Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Which organization has directed banks to settle unclaimed deposits through special camps between October and December 2025?,SEBI,IRDAI,RBI,Ministry of Finance,NABARD,RBI
2,What is the Ways and Means Advances (WMA) limit set by the RBI for the second half of FY 2025-26 (October 2025–March 2026)?,"₹25,000 crore","₹50,000 crore","₹75,000 crore","₹1,00,000 crore","₹1,50,000 crore","₹50,000 crore"
3,What is the minimum net worth requirement for an SRO in the Fintech (SRO- FT) sector?,₹1 crore,₹2 crore,₹5 crore,₹10 crore,₹15 crore,₹2 crore
4,SBI Mutual Fund recently launched its first scheme under the Specialised Investment Fund (SIF) category. What is its name?,SBI Magnum Balanced Fund,SBI Magnum Equity Hybrid Fund,SBI Magnum Hybrid Long Short,SBI Magnum Debt Fund,SBI Magnum Arbitrage Fund,SBI Magnum Hybrid Long Short
5,Which organization launched a dedicated window in the Food Safety Compliance System (FSCS) portal for licensing and registration of Ayurveda Aahara products?,Ministry of AYUSH,Food Safety and Standards Authority of India (FSSAI),Ministry of Health and Family Welfare,Indian Council of Medical Research (ICMR),National Institute of Ayurveda,Food Safety and Standards Authority of India (FSSAI)
6,Who was appointed as the Chairman of the Advertising Standards Council of India (ASCI) during its 39th AGM?,Partha Sinha,Sudhanshu Vats,Rakesh Kapoor,Nitin Paranjpe,Amitabh Kant,Sudhanshu Vats
7,"Who launched the Viksit Bharat Buildathon 2025, India’s largest school hackathon?",Prime Minister Narendra Modi,"Union Minister for Education, Shri Dharmendra Pradhan",NITI Aayog CEO,AICTE Chairman,Atal Innovation Mission Director,"Union Minister for Education, Shri Dharmendra Pradhan"
8,"Where will the tri-service exercise ‘Cold Start 1’, aimed at testing drones and counter-drone technologies, be conducted?",Rajasthan,Gujarat,Madhya Pradesh,Punjab,Haryana,Madhya Pradesh
9,FIFA unveiled three official mascots for the 23rd FIFA World Cup 2026. Which of the following pairs is correct?,Clutch – Jaguar – Mexico,Zayu – Moose – Canada,Maple – Bald Eagle – USA,Clutch – Bald Eagle – USA,Zayu – Tiger – India,Clutch – Bald Eagle – USA
10,Who inaugurated India’s first fleet of electric heavy trucks with swappable battery technology at Nhava Sheva Distribution Terminal?,Nitin Gadkari,Sarbananda Sonowal,Piyush Goyal,Dharmendra Pradhan,Mansukh Mandaviya,Sarbananda Sonowal
11,Where is the 11th ISSF Junior World Cup Rifle/Pistol/Shotgun 2025 being hosted?,"New Delhi, India","Tokyo, Japan","Paris, France","Moscow, Russia","Beijing, China","New Delhi, India"
