Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,"How many new ‘Ratna’ categories is the government planning to introduce in addition to Maharatna, Navratna, and Miniratna?",One,Two,Three,Four,None of the given options,Two
2,Who is the Chairman of the Sixteenth Finance Commission (XVIFC) for the period 2026–27 to 2030–31?,Dr. Manoj Panda,Dr. Arvind Panagariya,T. Rabi Sankar,Dr. Soumyakanti Ghosh,None of the given options,Dr. Arvind Panagariya
3,India’s first bullet train’s inaugural run in August 2027 will cover how many kilometers?,50 km,80 km,100 km,150 km,None of the given options,100 km
4,Which ministry launched the Trade Intelligence and Analytics (TIA) portal?,Ministry of Finance,Ministry of External Affairs,Ministry of Commerce & Industry,Ministry of Electronics & IT,None of the given options,Ministry of Commerce & Industry
5,When are the recommendations of the 8th Central Pay Commission expected to take effect?,01 January 2025,01 July 2025,01 January 2027,01 April 2026,01 January 2026,01 January 2026
6,Which team did India defeat in the KogniVera International Polo Cup 2025?,Argentina,Brazil,England,Australia,South Africa,Argentina
7,Who is the author of the book ‘Modi Mission’?,Sanjaya Baru,Berjis Desai,Rajdeep Sardesai,Pradeep Gupta,None of the Above,Berjis Desai
8,Which country recently became the 11th member of ASEAN in 2025?,Brunei,East Timor,Myanmar,Laos,Cambodia,East Timor
9,What is the name of the Smart Coal Analytics Dashboard launched for real-time monitoring of coal sector operations?,Coal Vision,Coal Connect,Smart Mine,Digital Coal,Koyla Shakti,Koyla Shakti
10,"Which newly established facility of the National Seeds Corporation was inaugurated at Pusa Complex, New Delhi?",Pulses Processing Unit,Vegetable and Flower Seed Processing & Packaging Unit,Hybrid Seed Research Lab,Organic Seed Production Unit,Seed Storage and Distribution Center,Vegetable and Flower Seed Processing & Packaging Unit
11,What is significant about the Indian Navy’s indigenously built Survey Vessel Ikshak?,Built by Mazagon Dock Shipbuilders,First SVL with dedicated accommodation for women,Commissioned at Naval Base Mumbai,Powered by nuclear propulsion,Named after a famous Indian Admiral,First SVL with dedicated accommodation for women
12,"Where was the 22nd ASEAN–India Summit, addressed by PM Narendra Modi, held?","Jakarta, Indonesia","Manila, Philippines","Bangkok, Thailand","Kuala Lumpur, Malaysia","Hanoi, Vietnam","Kuala Lumpur, Malaysia"
13,Which two institutes were recently recognized as Centres of Excellence (CoE) under India’s National Critical Mineral Mission (NCMM)?,IIT Bombay,IISc Bangalore,C-MET Hyderabad,Only B and C,None of these,Only B and C
14,Who won the Women’s Singles title at the Yonex French Open Badminton 2025?,Akane Yamaguchi,An Se-young,Tai Tzu-ying,P. V. Sindhu,Carolina Marin,An Se-young
15,India will host which major aviation safety meeting for the first time in October 2025?,ICAO Global Aviation Safety Summit,Asia-Pacific Accident Investigation Group (APAC-AIG) Meeting,International Air Safety Forum,SAARC Aviation Cooperation Conference,ASEAN Air Safety Dialogue,Asia-Pacific Accident Investigation Group (APAC-AIG) Meeting
16,Who represented India at the 22nd ASEAN-India Summit held virtually in 2025?,President Droupadi Murmu,Vice President Jagdeep Dhankhar,External Affairs Minister S. Jaishankar,Prime Minister Narendra Modi,Defence Minister Rajnath Singh,Prime Minister Narendra Modi
17,"What is the meaning of the name of Cyclone Montha, which formed in the Southeastern Bay of Bengal?",Strength,Moonlight,Wind,Rain,Beautiful Flower,Beautiful Flower
18,"Who was Thailand’s Queen Mother Sirikit Kitiyakara, who recently passed away?",Queen Sirikit Kitiyakara,Queen Suthida,Queen Mother Mohra,Princess Bajrakitiyabha,Queen Sirivannavari,Queen Sirikit Kitiyakara
19,What is commemorated on 27th October as Infantry Day?,Landing of 1st Battalion of Sikh Regiment at Srinagar Airport in 1947,First battle of Kargil,Establishment of Indian Armored Corps,Formation of Mechanized Infantry,Indian Army Day,Landing of 1st Battalion of Sikh Regiment at Srinagar Airport in 1947
20,"What is the rate of interest on Government of India Floating Rate Bond 2034 (GOI FRB 2034) for the half-year October 30, 2025, to April 29, 2026?",6.25% per annum,6.54% per annum,6.75% per annum,6.99% per annum,7.25% per annum,6.54% per annum
21,"Which company partnered with OpenAI to enable a digital wallet in ChatGPT, allowing users to purchase goods and services directly through the AI chatbot?",Google Pay,PhonePe,Apple Pay,Amazon Pay,PayPal,PayPal
22,Which Small Finance Bank’s application was returned by RBI for conversion into a Universal Bank?,AU Small Finance Bank,Fino Payments Bank,Jana Small Finance Bank,Ujjivan Small Finance Bank,Equitas Small Finance Bank,Jana Small Finance Bank
23,Which bank won the “BFSI Brand of the Year” at the FINIXX Summit & Awards 2025?,HDFC Bank,ICICI Bank,State Bank of India (SBI),Axis Bank,Kotak Mahindra Bank,State Bank of India (SBI)
24,Which company has enabled Unified Payments Interface (UPI) payments for Non-Resident Indians (NRIs) through their international mobile numbers?,PhonePe,Google Pay,BharatPe,Amazon Pay,Paytm,Paytm
25,"Which Japanese fintech firm launched “JPYC,” the world’s first Yen- pegged stablecoin?",JPYC Inc.,Mitsubishi UFJ Financial,Sony Financial,SoftBank Vision Fund,Rakuten Pay,JPYC Inc.
26,How much gold has the Reserve Bank of India repatriated in the half-year ending September 2025?,54 tonnes,64 tonnes,74 tonnes,84 tonnes,94 tonnes,64 tonnes
27,"As of October 2025, how many Indian languages have been granted the status of Classical Language?",9,10,11,12,13,11
28,"Which country topped the medal tally at the 4th Edition of the South Asian Athletics (SAAF) Championships 2025 held in Ranchi, Jharkhand?",Sri Lanka,Nepal,India,Bangladesh,Bhutan,India
29,Who has been appointed as the Chair of the Board of Directors (BoD) of Citigroup Inc.?,Mary Callahan Erdoes,Jane Fraser,Marianne Lake,John Dugan,Brian Moynihan,Jane Fraser
30,Which milestone did Virat Kohli achieve on 25 October 2025 during the third ODI against Australia at Sydney Cricket Ground?,Became the highest run-scorer in Test cricket,Became the second-highest run-scorer in One Day Internationals,Scored his 100th ODI century,"Became the fastest batsman to 10,000 ODI runs",Achieved most sixes in ODI cricket,Became the second-highest run-scorer in One Day Internationals
31,"Who led the Indian delegation at the 16th session of the United Nations Conference on Trade and Development (UNCTAD-16) held in Geneva, Switzerland?",Nirmala Sitharaman,Piyush Goyal,S. Jaishankar,Rajeev Chandrasekhar,Narendra Modi,Piyush Goyal
32,By which year is India’s elderly population projected to reach around 230 million?,2030,2032,2036,2040,2050,2036
33,"Who led the Indian delegation at the 19th Mid-Term Ministerial Meeting of the Non-Aligned Movement (NAM) in Kampala, Uganda?",S. Jaishankar,Kirti Vardhan Singh,Piyush Goyal,Nirmala Sitharaman,Rajnath Singh,Kirti Vardhan Singh
34,What is the total fertilizer subsidy approved by the Union Cabinet for the Rabi season 2025–26?,"₹24,000 crore","₹25,736 crore","₹37,952 crore","₹43,600 crore","₹14,000 crore","₹37,952 crore"
35,Which lending arm of the World Bank provided a loan of ₹875 crore to Signature Global?,Asian Development Bank,IFC (International Finance Corporation),IMF Lending Arm,World Bank IBRD,ADB & IFC Joint,IFC (International Finance Corporation)
36,Where was the Trishul 2025 tri-Service combat exercise held?,Eastern border with China,Northern border with Nepal,Western border with Pakistan,Southern coast,Andaman & Nicobar Islands,Western border with Pakistan
37,Which ministry unveiled the official logo of the National Maritime Heritage Complex (NMHC) during the India Maritime Week 2025 celebrations in Mumbai?,Ministry of Culture,Ministry of External Affairs,Ministry of Tourism,"Ministry of Ports, Shipping and Waterways",Ministry of Commerce and Industry,"Ministry of Ports, Shipping and Waterways"
38,What is the name of the tourism initiative launched by the Government of India to transform 50 domestic destinations into world-class attractions by 2029?,Incredible India 2.0,Tourism Boost Vision 2029,Explore India Initiative,India Heritage Trail,Destination India 2029,Tourism Boost Vision 2029
39,"Which renowned plastic and reconstructive surgeon and Padma Shri awardee, known for pioneering burn care in South India, recently passed away?",Prof. Mathangi Ramakrishnan,Dr. B.C Roy,Dr. Devi Shetty,Prof. Karimpat Ram,Dr. G. Whitaker,Prof. Mathangi Ramakrishnan
40,Which financial institution provided a USD 460 million loan along with a USD 40 million concessional loan from the Clean Technology Fund (CTF) for the Maharashtra Power Distribution Enhancement Program for Agricultural Solarization?,World Bank,International Finance Corporation (IFC),Asian Development Bank (ADB),New Development Bank (NDB),Asian Infrastructure Investment Bank (AIIB),Asian Development Bank (ADB)
41,Who is the chairperson of the UIDAI expert panel formed to develop the ‘Aadhaar Vision 2032’?,Ajay Bhushan Pandey,Neelkanth Mishra,Saurabh Garg,Rajeev Chandrasekhar,Girish Chandra Murmu,Neelkanth Mishra
42,"As of June 30, 2025, how many Prepaid Payment Instrument (PPI) cards were in circulation according to the Reserve Bank of India?",436 million,483 million,338 million,868 million,890 million,483 million
43,"According to RBI, which two countries together accounted for one-third of India’s FDI during FY25?",Japan and UAE,US and Singapore,UK and Mauritius,France and Germany,China and South Korea,US and Singapore
44,Who has been appointed as the Deputy Managing Director (DMD) of HDFC Bank for a term starting from 13 October 2025?,Sashidhar Jagdishan,Kaizad Bharucha,Aditya Puri,Uday Kotak,Rajnish Kumar,Kaizad Bharucha
