question,option1,option2,option3,option4,option5,answer
,,,,,,
What is the key provision of the bill “The One Big Beautiful Bill” recently introduced in the US Congress that impacts immigrants?,Ban on work permits for non-citizens,10% tax on foreign investments,Mandatory visa interviews every year,5% excise tax on international remittances by non-citizens,Limit on number of family-based visas,5% excise tax on international remittances by non-citizens
What is the objective of the 'Clean Plant Programme' recently launched by the Government of India?,Promote organic farming nationwide,Distribute free seeds to all farmers,Provide disease-free horticultural plants to farmers,Increase pesticide usage in horticulture,Encourage imports of foreign plant varieties,Provide disease-free horticultural plants to farmers
What is the name of the counter-infiltration mission conducted by the Indian Army in Poonch to eliminate terrorists trying to cross the LoC?,Operation SuryaShakti,Operation Mahadev,Operation Sarvashakti,Operation Trinetra,Operation ShivShakti,Operation ShivShakti
What is the primary aim of the Setubandha Scholar Scheme launched by the Ministry of Education?,Promote foreign language education,Integrate traditional scholars into IIT research ecosystem,Offer scholarships to engineering toppers,Support startups in Sanskrit learning,Fund international conferences in humanities,Integrate traditional scholars into IIT research ecosystem
Rajat Verma has been appointed as the new CEO of which Bank?,DBS Bank India,Axis Bank,Yes Bank,HDFC Bank,ICICI Bank,DBS Bank India
Where will the first-ever Khelo India Water Sports Festival (KIWSF) 2025 be held?,Diu,Goa,Mumbai,Srinagar,Kochi,Srinagar
RBI has cut the CPI inflation projection for FY26 to what level?,3.7%,3.5%,3.1%,2.9%,6.6%,3.1%
Who was awarded the INTERPOL Medal of the Highest Order at the Middle East International Border Management and Technology Conference?,General Shaikh Rashid bin Abdullah Al Khalifa,Major General Dr. Ahmed Nasser Al Raisi,Sheikh Salman bin Hamad,Khalifa bin Zayed Al Nahyan,Abdullah bin Abdulaziz,General Shaikh Rashid bin Abdullah Al Khalifa
Discovery of a Rare Umamaheshwara Sculpture is in which state ?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,Karnataka
"On World Environment Day 2025, which state announced the distribution of six lakh stainless steel bottles to schoolchildren to combat plastic pollution?",Uttarakhand,Himachal Pradesh,Sikkim,Kerala,Punjab,Himachal Pradesh
Which term has been named the “Word of the Year 2025” by Collins Dictionary?,AI Fusion,Vibe Coding,Quantum Leap,Neural Networking,Digital Detox,Vibe Coding
"IN-SPACe and SIDBI have launched a ₹1,000 crore Venture Capital Fund for which sector?",Defence Sector,Agriculture Sector,Space Sector,Manufacturing Sector,Renewable Energy Sector,Space Sector
What is the objective of the ‘District Collectors’ Peyjal Samvad’ organised by DDWS under Jal Jeevan Mission?,Promote rural tourism,Strengthen local governance and accountability in water services,Launch new water supply infrastructure,Train school teachers in water conservation,Conduct river cleaning drives,Strengthen local governance and accountability in water services
Which country became the 1st South Asian nation to join the UN Water Convention in June 2025?,India,Nepal,Bangladesh,Sri Lanka,Bhutan,Bangladesh
Which agency is implementing the National Beekeeping and Honey Mission (NBHM)?,NAFED,National Bee Board (NBB),APEDA,NABARD,FSSAI,National Bee Board (NBB)
"Which bank launched 'M' Circle, a women-focused banking proposition offering discounts on locker rentals and preferential loan rates?",AU Small Finance Bank,HDFC Bank,ICICI Bank,Axis Bank,Kotak Mahindra Bank,AU Small Finance Bank
"Which Indian chess players won gold medals at the European Chess Club Cup 2025 held in Rhodes, Greece?",D Gukesh and Abhimanyu Puranik,Nihal Sarin and Aravindh Chithambaram,D Gukesh and Divya Deshmukh,Abhimanyu Puranik and Divya Deshmukh,Nihal Sarin and D Gukesh,D Gukesh and Divya Deshmukh
Which milestone did Virat Kohli achieve on 25 October 2025 during the third ODI against Australia at Sydney Cricket Ground?,Became the highest run-scorer in Test cricket,Became the second-highest run-scorer in One Day Internationals,Scored his 100th ODI century,"Became the fastest batsman to 10,000 ODI runs",Achieved most sixes in ODI cricket,Became the second-highest run-scorer in One Day Internationals
Who has been re-elected as the President of Tanzania for a second term?,John Magufuli,Samia Suluhu Hassan,Jakaya Kikwete,Edward Lowassa,Ali Hassan Mwinyi,Samia Suluhu Hassan
India achieved the milestone of crossing 500 GW total power capacity in which year?,2023,2024,2025,2030,2027,2025
Which country will host the 2026 Asian Youth Archery Championship?,India,Bangladesh,Thailand,United Arab Emirates,South Korea,United Arab Emirates
When did India officially conclude its presence at the Ayni Airbase in Tajikistan?,2008,2010,2020,2022,2024,2022
"Who led the Indian delegation at the 19th Mid-Term Ministerial Meeting of the Non-Aligned Movement (NAM) in Kampala, Uganda?",S. Jaishankar,Kirti Vardhan Singh,Piyush Goyal,Nirmala Sitharaman,Rajnath Singh,Kirti Vardhan Singh
Which ministry unveiled the official logo of the National Maritime Heritage Complex (NMHC) during the India Maritime Week 2025 celebrations in Mumbai?,Ministry of Culture,Ministry of External Affairs,Ministry of Tourism,"Ministry of Ports, Shipping and Waterways",Ministry of Commerce and Industry,"Ministry of Ports, Shipping and Waterways"
"Which Japanese fintech firm launched “JPYC,” the world’s first Yen- pegged stablecoin?",JPYC Inc.,Mitsubishi UFJ Financial,Sony Financial,SoftBank Vision Fund,Rakuten Pay,JPYC Inc.
UIDAI partnered with which organization to improve the reliability of India’s digital identity system for minors?,World Bank,Behavioural Insights Limited (BIL),NITI Aayog,UNICEF,CSIR,Behavioural Insights Limited (BIL)
What is the total corpus of the AgriSURE Fund launched by NABARD and the Union Agriculture Ministry?,₹500 crore,₹600 crore,₹750 crore,₹800 crore,₹1000 crore,₹750 crore
What was the cumulative profit of Public Sector Banks (PSBs) in Q2 FY26?,"₹45,547 crore","₹49,456 crore","₹50,000 crore","₹93,674 crore","₹85,520 crore","₹49,456 crore"
"What did PM Modi release to mark the 100-year anniversary of the RSS on October 1, 2025?",₹50 commemorative coin and a postage stamp,₹100 commemorative coin and a postage stamp,Special edition banknote,Commemorative medal,RSS official magazine,₹100 commemorative coin and a postage stamp
"RBI imposed a monetary penalty of ₹ 4.20 lakh on which NBFC for non- compliance with KYC Directions, 2016?",Bajaj Finance Ltd,HDB Financial Services Ltd,Tata Capital Financial Services,Muthoot Finance,Shriram Finance,HDB Financial Services Ltd
"Which organization constructed the world’s highest motorable road at Mig La Pass near the Line of Actual Control (LAC) at an altitude of 19,400 feet?",National Highways Authority of India (NHAI),Border Roads Organisation (BRO),Indian Army Corps of Engineers,Ministry of Defence,Project Vartak,Border Roads Organisation (BRO)
Which subsidiary of Coal India inaugurated its first fully women-operated Central Store Unit at Korba?,Northern Coalfields Limited (NCL),South Eastern Coalfields Limited (SECL),Western Coalfields Limited (WCL),Mahanadi Coalfields Limited (MCL),Central Coalfields Limited (CCL),South Eastern Coalfields Limited (SECL)
"According to the 2025 Index of Economic Freedom, what is India’s global rank and economic status?",115th – Moderately Free,98th – Mostly Free,128th – Mostly Unfree,140th – Repressed,75th – Free,128th – Mostly Unfree
RBL Bank has partnered with which organization for a bancassurance agreement?,SBI Life Insurance,HDFC Life Insurance,Max Life Insurance,Life Insurance Corporation of India (LIC),ICICI Prudential Life Insurance,Life Insurance Corporation of India (LIC)
"Which bank, in collaboration with PhonePe, launched the Wish Credit Card powered by RuPay?",Utkarsh Small Finance Bank,HDFC Bank,ICICI Bank,Axis Bank,SBI Card,Utkarsh Small Finance Bank
"Which Centrally Sponsored Scheme (CSS) aims to transform ITIs into advanced centres for skilling and employability, with a total investment of Rs. 60,000 crore?",PM-SETU,PM-SVANidhi,Kaushal Vikas Yojana,Skill India Initiative,MNREGA,PM-SETU
Who received a 3-month extension as Chairman and Managing Director of BSNL and MTNL?,Anurag Thakur,A. Robert J. Ravi,Rajesh Kumar,Sanjay Mishra,P. K. Gupta,A. Robert J. Ravi
Which organization signed an MoU with New Space India Limited to establish Direct Broadcast Network stations under Mission Mausam?,Indian Institute of Tropical Meteorology,India Meteorological Department,National Centre for Medium Range Weather Forecasting,Indian Space Research Organisation,Ministry of Earth Sciences,National Centre for Medium Range Weather Forecasting
Who won the Irani Cup 2025 by defeating Rest of India?,Mumbai,Saurashtra,Vidarbha,Karnataka,Rest of India,Vidarbha
Who has been reappointed as the Prime Minister of France by President Emmanuel Macron in October 2025?,François Bayrou,Élisabeth Borne,Sébastien Lecornu,Gabriel Attal,Jean Castex,Sébastien Lecornu
What financial assistance enhancements were approved by Raksha Mantri Rajnath Singh for Ex-Servicemen (ESM) and their dependents?,Only Penury Grant doubled,Only Marriage Grant increased,Only Education Grant increased,"Penury Grant, Education Grant, and Marriage Grant increased",No changes approved,"Penury Grant, Education Grant, and Marriage Grant increased"
"Who was T T Jagannathan, recently in the news for his passing?",Founder of Amul,Chairman Emeritus of TTK Prestige Ltd.,CEO of Infosys,Chairman of Tata Steel,Founder of Dabur,Chairman Emeritus of TTK Prestige Ltd.
What is the target percentage of female workforce SBI aims to achieve by 2030?,25%,27%,30%,33%,35%,30%
What are the key changes introduced in the Reserve Bank of India’s bank locker rules for 2025?,Mandatory revised agreement and digital copy for customers,"Biometric access, 24×7 CCTV, and alerts on locker access",Compensation up to 100 times annual rent if the bank is at fault,Updated indicative annual rent based on locker size and city,All of the above,All of the above
"Which Act came into effect on October 1, 2025, banning real-money gaming across India?","Digital Gaming Safety Act, 2025","Online Gambling Regulation Act, 2025","Promotion and Regulation of Online Gaming Act, 2025","Responsible eGaming Act, 2025","National Cyber Entertainment Act, 2025","Promotion and Regulation of Online Gaming Act, 2025"
By how much has RBI recently raised the limits for IPO financing and loans against shares?,₹10 Lakh to ₹20 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹50 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore,₹5 Lakh to ₹15 Lakh,₹5 Lakh to ₹35 Lakh,₹10 Lakh to ₹25 Lakh and ₹20 Lakh to ₹1 Crore
"Who has been appointed as the Managing Director & CEO of Suryoday Small Finance Bank, with tenure extended until January 22, 2029?",Umesh Revankar,Baskar Babu Ramachandran,Vishal Kapoor,Ramesh Iyer,Arvind Sharma,Baskar Babu Ramachandran
Where was the 2025 edition of the Chief Science Advisers’ Roundtable (CSAR) held under South Africa’s G20 Presidency?,"Pretoria, South Africa","Johannesburg, South Africa","Cape Town, South Africa","Durban, South Africa","Bloemfontein, South Africa","Pretoria, South Africa"
Who was appointed as the Chairman of the Advertising Standards Council of India (ASCI) during its 39th AGM?,Partha Sinha,Sudhanshu Vats,Rakesh Kapoor,Nitin Paranjpe,Amitabh Kant,Sudhanshu Vats
