question,option1,option2,option3,option4,option5,answer
What is India's rank in the Global Peace Index (GPI) 2025?,110,115,120,125,,115
Under which Act does the Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY) provide free foodgrains to eligible households?,"Essential Commodities Act, 1955","Food Safety and Standards Act, 2006","National Food Security Act, 2013","Public Distribution Act, 2010","Food Distribution and Safety Act, 2015","National Food Security Act, 2013"
Which company has recently appointed Amitabh Kant as an Independent Director till 2030?,HCLTech,Wipro,Infosys,Tech Mahindra,TCS,HCLTech
Which company has partnered with JioBlackRock to launch India’s first Systematic Active Equity fund for retail investors?,Zerodha,Paytm Money,Groww,ICICI Direct,HDFC Securities,Paytm Money
"Who has been elected as the Chair of the UN Committee on Economic, Social and Cultural Rights (CESCR)?",Syed Akbaruddin,T.S. Tirumurti,Preeti Saran,Ruchira Kamboj,Shashi Tharoor,Preeti Saran
"Rajgir Sports Academy, which recently earned affiliation with the Asian Hockey Federation, is located in which district of Bihar?",Patna,Gaya,Nalanda,Muzaffarpur,Bhagalpur,Nalanda
"Recently, the government approved ₹6,982 crore as additional capex support in 2025 for which telecom company?",Airtel,Jio,Vodafone Idea,BSNL,MTNL,BSNL
"What is observed on 18th September every year, and when was it started?",World Environment Day,World Water Monitoring Day,World Oceans Day,International Youth Day,World Habitat Day,World Water Monitoring Day
"Where is India’s first overseas defence manufacturing facility, to be inaugurated by Defence Minister Rajnath Singh, located?","Casablanca, Morocco","Rabat, Morocco","Marrakech, Morocco","Tangier, Morocco","Fez, Morocco","Casablanca, Morocco"
"As per the HSBC India Manufacturing PMI survey, India’s Manufacturing PMI reached a 17-year high of 59.3 in August 2025. This index is compiled by which organization?",World Bank,International Monetary Fund (IMF),S&P Global,Reserve Bank of India (RBI),United Nations (UN),S&P Global
What is the primary objective of the PRATUSH telescope proposed to be placed in the lunar orbit?,Monitoring solar flares,Detecting signals from the universe's infancy,Studying asteroids and comets,Observing black holes,Tracking space debris,Detecting signals from the universe's infancy
"Who has been appointed as the Non-Executive Chairman of Yes Bank Limited, with a term ending on May 13, 2027?",Shaktikanta Das,Rama Subramaniam Gandhi,Rajnish Kumar,Raghuram Rajan,Urjit Patel,Rama Subramaniam Gandhi
Where did Punjab National Bank (PNB) open its first startup-focused branch in alignment with Startup India?,"Connaught Place, New Delhi","Bhikaji Cama Place, New Delhi","Nehru Place, New Delhi","Gurgaon, Haryana","Noida, Uttar Pradesh","Bhikaji Cama Place, New Delhi"
Who is the author of the book ‘Justice Denied Justice Lost’ that discusses the judiciary and the Soumitra Sen case?,Arundhati Roy,Kanchan Chakraborty,Ramachandra Guha,Barkha Dutt,Shashi Tharoor,Kanchan Chakraborty
The Reserve Bank of India (RBI) has launched the September 2025 round of which surveys to gauge consumer confidence?,Both UCCS and RCCS,Rural Consumer Confidence Survey (RCCS),Urban Consumer Confidence Survey (UCCS),Consumer Expenditure Survey,Economic Outlook Survey,Both UCCS and RCCS
What is the total financial outlay of the Promotion of Research and Innovation in Pharma MedTech (PRIP) scheme?,"₹3,000 crore","₹4,000 crore","₹5,000 crore","₹6,000 crore","₹7,000 crore","₹5,000 crore"
"Rashtriya Raksha University (RRU) signed an MoU with which security force to enhance cooperation in training, research, and academic development related to national security?",Central Reserve Police Force (CRPF),Border Security Force (BSF),Indo-Tibetan Border Police (ITBP),Sahastra Seema Bal (SSB),Central Industrial Security Force (CISF),Sahastra Seema Bal (SSB)
"Recently, how many new Pradhan Mantri Jan Dhan Yojana (PMJDY) accounts were opened during the financial inclusion campaign?",3.2 million,4.5 million,10 million,7.5 million,6.1 million,6.1 million
Coal India Limited recently signed an MoU with which organization to empower tribal students enrolled in Eklavya Model Residential Schools (EMRS)?,National Scheduled Tribe Finance and Development Corporation (NSTFDC),NABARD,NITI Aayog,NCERT,Ministry of Education,National Scheduled Tribe Finance and Development Corporation (NSTFDC)
Engineers India Limited (EIL) recently signed an agreement with NPCIL for the development of which type of nuclear technology?,Fast Breeder Reactors,Pressurized Heavy Water Reactors,Bharat Small Modular Reactors (BSMRs),Fusion Reactors,Thorium-based Reactors,Bharat Small Modular Reactors (BSMRs)
"The Union Cabinet approved a ₹1,500 crore Incentive Scheme under the National Critical Mineral Mission to promote recycling of which feedstock?",e-Waste and Battery Scrap,Plastic Waste,Coal Waste,Textile Waste,Thermal Ash,e-Waste and Battery Scrap
Which company launched the ‘Health Systematic Investment Plan (SIP)’ and the ‘Health Buddy’ App in India?,LIC,HDFC Life,ICICI Prudential Life,TATA AIA Life Insurance,SBI Life,TATA AIA Life Insurance
ISRO recently conducted its first Integrated Air Drop Test (IADT-01) for which Gaganyaan system?,Launch Vehicle Mark,Crew Escape System,Parachute-based deceleration system,Vyommitra robot deployment system,Low Earth Orbit stabilization system,Parachute-based deceleration system
Aditya Birla Fashion and Retail recently launched which new fashion brand?,Zudio,StyleUp,OWND!,Max,Pantaloons,OWND!
"The Narcotics Control Bureau (NCB) recently got its first 'Silver Notice' issued by INTERPOL against Pawan Thakur, who is linked to which criminal activity?",Human Trafficking,Drug Trafficking,Cybercrime,Money Laundering,Arms Smuggling,Drug Trafficking
