Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
31,"Reserve Bank of India (RBI) will Closed which type of Bank Accounts to Be Starting January 1, 2025 ?",Dormant Accounts,Inactive Accounts,Zero Balance Accounts,Both a and b,"All a, b and c","All a, b and c"
2,Federation of Cold Storage Associations of India (FCAOI) signed a Memorandum of Understanding (MoU) with which bank to enhance agricultural infrastructure ?,South Indian Bank,Axis Bank,Indian Bank,Punjab National Bank,Karur Vyasya Bank,Punjab National Bank
3,What is the name of the framework for which the Reserve Bank of India (RBI) has constituted a committee to develop ethical and responsible use of Artificial Intelligence in the financial sector?,Ethical AI Framework (EAF),Responsible AI in Banking (RAIB),Framework for Responsible and Ethical Enablement of Artificial Intelligence (FREE-AI),Artificial Intelligence Governance Framework (AIGF),AI in Finance Framework (AIF),Framework for Responsible and Ethical Enablement of Artificial Intelligence (FREE-AI)
4,Which state launched a new citizen-centric initiative called the SWAR (Speech and Written Analysis Resource) platform ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Gujarat
5,Who has been appointed as the Director of the National Testing Agency (NTA)?,Ramesh Pokhriyal,Subhas Sarkar,Sandip Kumar Mishra,Amit Khare,Anil Sahasrabudhe,Sandip Kumar Mishra
6,"Who, a global auto industry icon and former chairman of Suzuki Motor Corporation, passed away at the age of 94?",Akio Toyoda,Osamu Suzuki,Soichiro Honda,Eiji Toyoda,Shoichiro Toyoda,Osamu Suzuki
7,Which state Launches AI Task Force to promote Technological Growth ?,Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Gujarat
8,"Which country Universities Set to Establish Campuses at GIFT City, Gujarat ?",Spain,China,USA,France,UK,UK
9,"Which company launched the advertising campaign ""First the fan will come, then electricity will come"" to promote its renewable energy initiatives?",Tata Power,Adani Group,Reliance Industries,NTPC Limited,Suzlon Energy,Adani Group
10,Which country will host the World Audio Visual Entertainment Summit (WAVES) for the first time in 2025?,United States,China,India,Japan,Russia,India
11,Joe Biden signed a law on Christmas Eve?,Golden Eagle,Bald Eagle,Peregrine Falcon,American Robin,Red-tailed Hawk,Bald Eagle
12,Which state celebrated the annual Kagyad Dance festival ?,Tripura,Sikkim,Assam,Arunachal Pradesh,Meghalaya,Sikkim
13,"Who, a revered figure in Malayalam literature and cinema, passed away at the age of 91?",Kamala Surayya,O. V. Vijayan,Thakazhi Sivasankara Pillai,Vaikom Muhammad Basheer,M. T. Vasudevan Nair,M. T. Vasudevan Nair
14,International Cello Day is annually celebrated on which day ?,26 December,27 December,28 December,29 December,30 December,29 December
15,Which country’s regulatory authority has granted approval for Doha Insurance Group (DIG) to establish a reinsurance branch in India?,RBI,SEBI,World Bank,Qatar Central Bank,Dubai Financial Market,Qatar Central Bank
16,Shriram Finance established in which year ?,1979,1956,1998,1999,2002,1979
17,"Which edition of Exercise Surya Kiran 2024 Held at Saljhandi, Nepal ?",12th,13th,15th,17th,18th,18th
18,Youth Co:Lab Launched in india in which year ?,2015,2017,2019,2020,2021,2019
19,What was the primary focus of the 45th edition of PRAGATI chaired by Prime Minister Narendra Modi ?,Reviewing international trade agreements,Discussing defense modernization,Reviewing key infrastructure and development projects,Addressing climate change policies,Announcing new education reforms,Reviewing key infrastructure and development projects
20,Which state defeated Chandigarh 34-31 to clinch their maiden Senior National Men’s Handball Championship title ?,Kerala,Tamil Nadu,Odisha,Andhra Pradesh,Telangana,Kerala
21,Which state government has decided to increase the maximum limit of Death-cum-Retirement Gratuity for state government employees by 25 percent ?,West Bengal,Karnataka,Uttarakhand,Haryana,Maharashtra,Haryana
22,"Which cricket legend has been appointed as the brand ambassador for Kissht, India’s leading digital lending platform?",Rohit Sharma,Virat Kohli,MS Dhoni,Ravindra Jadeja,Sachin Tendulkar,Sachin Tendulkar
23,"Consider the following statements About newly-formed interim Asian body for boxing : 
(a) The interim Asian body was established by the World Boxing organization. 
(b) Ajay Singh has been appointed as the Board Member. 
(c) Lovlina Borgohain is one of the members of the Athletes’ Commission in this body. 
Which of the following statement is/are true ? ",Only a,Only b,Both a and b,Both a and c,"All a, b and c","All a, b and c"
24,Which Indian airport recently became the country's first Zero-Waste Airport?,"Kempegowda International Airport, Bengaluru","Chhatrapati Shivaji Maharaj International Airport, Mumbai","Indira Gandhi International Airport, Delhi","Devi Ahilyabai Holkar Airport, Indore","Rajiv Gandhi International Airport, Hyderabad","Devi Ahilyabai Holkar Airport, Indore"
25,Which organization awarded with the ‘Great Place to Work’ certification for January 2025 to January 2026?,BHEL,SAIL,RINL,BPCL,HPCL,SAIL
26,Which Indian Cricketer Accepts Prestigious Melbourne Cricket Club (MCC) Membership ?,Rohit Sharma,Virat Kohli,MS Dhoni,Ravindra Jadeja,Sachin Tendulkar,Sachin Tendulkar
