Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Where was the 22nd edition of the Shangri-La Dialogue (Asian Security Summit) held in 2025?,New Delhi,Kuala Lumpur,Tokyo,Singapore,Bangkok,Singapore
2,Why did SEBI impose a fine of Rs.25 lakh on MCX?,For insider trading,For improper disclosure of payments to 63 Moons Technologies / 63 Moons Technologies,For failure to launch a new platform,For manipulation in commodity prices,For non-submission of quarterly reports,For improper disclosure of payments to 63 Moons Technologies / 63 Moons Technologies
3,Which financial institution has received regulatory approval to open branches and offer credit services in Jammu & Kashmir?,Bajaj Finance,HDFC Bank,IIFL Finance,Muthoot Finance,SBI,IIFL Finance
4,What is the maximum short-term loan amount eligible for interest subvention under the Modified Interest Subvention Scheme (MISS) through Kisan Credit Cards (KCC)?,Rs.1 lakh,Rs.2 lakh,Rs.3 lakh,Rs.5 lakh,Rs.10 lakh,Rs.3 lakh
5,Which is India’s first pet food brand to achieve Unicorn status in 2025?,Netradyne,Porter,JSW One Platforms,Drools,Juspay,Drools
6,Which company has recently been authorised by RBI to act as a Payment Aggregator for import and export transactions?,Razorpay,PhonePe,Paytm,Worldline ePayments India,BharatPe,Worldline ePayments India
7,What is the name of the two-seater electric trainer aircraft being developed indigenously in India?,Tejas Lite,E-Hansa,Akash Trainer,Bharat Hawk,Garuda-X,E-Hansa
8,What is the estimated cost of the recently approved multitracking projects in Maharashtra & Madhya Pradesh?,"Rs.1,499 crore","Rs.3,399 crore","Rs.4,000 crore","Rs.2,999 crore","Rs.5,000 crore","Rs.3,399 crore"
9,NIBE Limited recently secured a major export order from which country for Universal Rocket Launchers?,France,Israel,Germany,South Korea,USA,Israel
10,Who has been nominated as the Forest and Wildlife Ambassador by the Environment Ministry?,M.S. Dhoni,Sachin Tendulkar,Rahul Dravid,Anil Kumble,Kapil Dev,Anil Kumble
11,Which university became the first American university to receive approval to set up a campus in India under UGC’s 2023 regulations?,Harvard University,Stanford University,"University of California, Berkeley","Illinois Institute of Technology, Chicago",MIT (Massachusetts Institute of Technology),"Illinois Institute of Technology, Chicago"
12,Which northeastern capital has recently been connected to the national railway network?,Imphal,Shillong,Itanagar,Aizawl,Kohima,Aizawl
13,By which year does the Government aim to operationalise 76 waterways across India?,2025,2026,2027,2030,2047,2027
14,"Who inaugurated the curtain raiser event for Wings India 2026, Asia’s largest civil aviation event?",Jyotiraditya Scindia,Kinjarapu Ram Mohan Naidu,Ashwini Vaishnaw,Nitin Gadkari,Hardeep Singh Puri,Kinjarapu Ram Mohan Naidu
15,What is the main purpose of the ‘Know Your PIN Code’ web application launched by the Department of Posts?,Track postal parcel location,Locate nearby post offices,Identify correct PIN Code using GNSS-based location,Generate new PIN Codes,Book speed post online,Identify correct PIN Code using GNSS-based location
16,Which Indian university has produced India’s first gene-edited sheep enhancing muscle mass by 30%? l,National Dairy Research Institute,Tamil Nadu Veterinary University,"SKUAST, Srinagar","IVRI, Bareilly","ICAR, Delhi","SKUAST, Srinagar"
17,"Which Fiji-born, Mumbai-based singer and humanitarian was awarded the Companion of the Order of Fiji, the highest civilian honour in Fiji?",Dr. Krupali Tappoo,Sumeet Tappoo,Sri Madhusudan Sai,Udit Narayan,Vijay Prakash,Sumeet Tappoo
18,Who became the first cricketer to score 9000 T20 runs for a single franchise?,Rohit Sharma,Virat Kohli,David Warner,Jos Buttler,AB de Villiers,Virat Kohli
19,SBI Life Insurance and which firm jointly acquired a 4.25% stake in National Highways Infra Trust (NHIT)?,LIC Housing Finance,Aditya Birla Capital,HDFC Pension,Vidyaniti LLP,ICICI Prudential,Vidyaniti LLP
20,What was the share of UPI in total retail payments by volume in 2024–25?,70%,75%,80%,84%,90%,84%
21,What was the total size of RBI's balance sheet at the end of FY 2024–25?,Rs.72.50 lakh crore,Rs.74.10 lakh crore,Rs.76.25 lakh crore,Rs.78.90 lakh crore,Rs.80.00 lakh crore,Rs.76.25 lakh crore
22,What is the new per-transaction limit for UPI tax payments as per the RBI's latest revision?,Rs.1 lakh,Rs.2 lakh,Rs.3 lakh,Rs.5 lakh,Rs.10 lakh,Rs.5 lakh
23,"What was the percentage growth in UPI QR codes as of March 31, 2025?",65%,78.3%,84%,91.5%,100%,91.5%
24,Which country was the top source of FDI equity inflows into India in FY 2024– 25?,United States,Japan,Netherlands,Mauritius,Singapore,Singapore
25,What was the value of RBI's forex transaction gains in FY 2024–25?,$9 billion,$11 billion,$15 billion,$13 billion,$17 billion,$13 billion
26,RBI has issued how many draft guidelines outlining the procedures for banks and NBFCs to issue gold loans to individuals ?,5,6,7,8,9,9
27,What is the revised monthly stipend range recommended under NAPS and NATS by the Central Apprenticeship Council in its 38th meeting?,"Rs.5,000 – Rs.9,000","Rs.6,000 – Rs.10,500","Rs.8,000 – Rs.14,000","Rs.7,500 – Rs.13,000","Rs.6,800 – Rs.12,300","Rs.6,800 – Rs.12,300"
28,Which upcoming indigenous programme aims to develop India’s fifth- generation fighter aircraft?,Tejas MK-2,Rafale India,AMCA Programme,Gaganyaan Mission,Astra Initiative,AMCA Programme
29,Which airline will be the first to operate from the Navi Mumbai International Airport (NMIA)?,Air India,Vistara,GoAir,IndiGo,SpiceJet,IndiGo
30,Which crop has received the highest percentage increase in MSP for 2025–26?,Maize,Nigerseed,Ragi,Soybean,Paddy,Ragi
31,"As per the 2025 Amendment Order, what is the maximum stock limit of wheat allowed for Traders/Wholesalers across India?",5000 MT,1000 MT,1500 MT,3000 MT,No Limit,3000 MT
32,At which international event in 2025 did Neeraj Chopra win a silver medal in javelin throw?,"Diamond League, Doha",World Athletics Championships,Janusz Kusociński Memorial,Asian Athletics Championships,Golden Spike Meet,Janusz Kusociński Memorial
33,"What is Indrajaal Infra, recently launched by Indrajaal, designed to protect?",Satellite communication systems,National highways,High-value infrastructure from drone threats,Submarine cables,Banking networks,High-value infrastructure from drone threats
34,"Which states are involved in the Rs.7,000-crore rail and road projects approved by the Cabinet Committee on Economic Affairs (CCEA)?","Maharashtra, Gujarat, Telangana","Madhya Pradesh, Rajasthan, Andhra Pradesh","Maharashtra, Madhya Pradesh, Andhra Pradesh","Andhra Pradesh, Karnataka, Odisha","Chhattisgarh, Maharashtra, Tamil Nadu","Maharashtra, Madhya Pradesh, Andhra Pradesh"
35,Which country was the top destination for India’s petroleum exports in FY 2024–25 despite an overall decline?,Netherlands,Singapore,United Arab Emirates,United States,South Africa,Netherlands
36,AM Green has signed an MoU with which European port to establish a green energy supply chain between India and Northwestern Europe?,Port of Rotterdam,Port of Hamburg,Port of Antwerp,Port of Marseille,Port of Valencia,Port of Rotterdam
37,"Who has been appointed as the new Chairman of IndiGo, replacing Venkataramani Sumantran? L",Ronojoy Dutta,Aditya Ghosh,Rahul Bhatia,Vikram Singh Mehta,Sanjay Kumar,Vikram Singh Mehta
38,"Which country topped the medal tally at the ISSF Junior World Cup Rifle/Pistol/Shotgun 2025 (1st leg) held in Suhl, Germany?",USA,Germany,France,China,India,India
39,Who won the Palme d’Or at the 78th Cannes International Film Festival held in 2025?,Payal Kapadia,Jafar Panahi,Juliette Binoche,Hirokazu Kore-eda,Pedro Almodóvar,Jafar Panahi
40,"According to the government, what is the estimated record foodgrain production for the crop year ending June 2025?",332.3 million tonnes,350.5 million tonnes,345.10 million tonnes,360.25 million tonnes,353.96 million tonnes,353.96 million tonnes
41,NLC India Renewables Ltd (NIRL) has signed a Joint Venture Agreement with which organization to develop renewable energy projects in Maharashtra?,SECI,NTPC Green Energy,MAHAPREIT,IREDA,MSEDCL,MAHAPREIT
42,"According to the ILO & NASK report, what percentage of jobs worldwide fall under the highest risk category due to Generative AI?",3.3%,4.7%,9.6%,2.4%,11%,3.3%
43,What was India’s fiscal deficit as a percentage of GDP in FY 2024–25?,5.4%,6.1%,4.8%,4.5%,3.9%,4.8%
44,"What is the projected value of India’s overall goods and services exports for FY 2025–26, as per FIEO?",$850 billion,$900 billion,$950 billion,$1 trillion,$1.1 trillion,$1 trillion
45,"What is the name of the new investor-focused initiative launched by IEPFA and SEBI in Pune on June 1, 2025?",NiveshakSahyog,SmartInvestor Camp,NiveshakShivir,DhanSuraksha Mission,SEBI Helpdesk Yatra,NiveshakShivir
46,Which Indian city will host the 2026 Asian Weightlifting Championships?,Ahmedabad,Mumbai,New Delhi,Chennai,Bengaluru,Ahmedabad
47,Who is the youngest Indian to complete the Seven Summits challenge?,Kamya Karthikeyan,Jordon Romero,Arjun Vajpai,Vishwanath Karthikey Padakanti,Krushnaa Patil,Vishwanath Karthikey Padakanti
48,Who has approved the grant of ‘Miniratna’ Category-I status to 3 Indian Defence Public Sector Undertakings (DPSUs) ?,Amit Shah,Yogi Adityanath,Anurag Thakur,Rajnath Singh,Narendra Modi,Rajnath Singh
49,What is the name of the scheme launched by the Gujarat Government to provide cashless medical treatment to its employees and pensioners?,Karmayogi Swasthya Suraksha Yojana,Gujarat Aarogya Suraksha Yojana,Ayushman Bharat Gujarat Yojana,Gujarat Medisave Scheme,Swasth Gujarat Mission,Karmayogi Swasthya Suraksha Yojana
50,Which satellite service provider received approval from IN-SPACe to offer direct satellite coverage to media organizations in India?,Intelsat,Hughes Network Systems,SES S.A.,Starlink,Telesat,Intelsat
51,Where will India establish its first Artificial Intelligence-focused Special Economic Zone (SEZ)?,"Bengaluru, Karnataka","Hyderabad, Telangana","Pune, Maharashtra","Nava Raipur, Chhattisgarh","Indore, Madhya Pradesh","Nava Raipur, Chhattisgarh"
52,Which state recently became the 24th State/Union Territory to achieve 100% electrification of rail tracks?,Maharashtra,Tamil Nadu,Gujarat,Uttar Pradesh,Punjab,Gujarat
53,Where was the 17th edition of the India-Mongolia joint military exercise Nomadic Elephant held in 2025?,"Umroi, Meghalaya","New Delhi, India","Ulaanbaatar, Mongolia","Tawang, Arunachal Pradesh","Thimphu, Bhutan","Ulaanbaatar, Mongolia"
54,Which Indian state was recently declared fully literate under the ULLAS - Nav Bharat Saaksharta Karyakram?,Kerala,Goa,Himachal Pradesh,Tamil Nadu,Sikkim,Goa
55,Which Airport tops in Air Connectivity Ranking 2024 ?,Tokyo International (Haneda) Airport,London Heathrow Airport,Indira Gandhi International Airport,Dubai International Airport,Shanghai Pudong International Airport,Dubai International Airport
56,What is the primary objective of the “Battery Aadhaar” project launched by the Government of India in 2025?,Promote battery exports from India,Subsidize EV battery manufacturing,Ensure transparency and safety in battery systems,Create employment in the EV sector,Monitor fuel prices digitally,Ensure transparency and safety in battery systems
57,Who presented the National Florence Nightingale Awards 2025 to outstanding nursing professionals?,President of India,Union Minister of Health,Prime Minister of India,Vice President of India,Union Minister of Women and Child Development,President of India
58,Who has been appointed as the Independent President of the World Anti- Doping Agency (WADA) for the term 2026–2028?,Yang Yang,Witold Banka,Thomas Bach,Sebastian Coe,Sun Yang,Witold Banka
59,What is the objective of the ‘Viksit Krishi Sankalp Abhiyan’ launched in May 2025?,Promote agricultural exports,Transform agriculture through technology adoption,Digitalize agricultural markets,Increase MSP for all crops,Provide crop insurance to every farmer,Transform agriculture through technology adoption
60,"Under which international initiative have 10 Indian AI startups been selected to undergo acceleration in Paris, France?",India AI Global Connect Program,India AI Startups Global Initiative,Global AI Acceleration Scheme,Paris AI Innovation Exchange,HEC AI Fellowship Programme,India AI Startups Global Initiative
61,"What is ‘Meghdoot Millennium’, recently inaugurated by the Indian Army Postal Service Corps and Department of Posts?",A military weather forecasting system,A secure postal software for defence personnel,A cloud storage service for army communication,A new postal stamp series for the Indian Army,An AI surveillance tool for border regions,A secure postal software for defence personnel
