Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,The messaging app “Arattai” is developed by which company?,Infosys,Zoho Corporation,TCS,Jio Platforms,Wipro,Zoho Corporation
2,Keir Starmer is the Prime Minister of which country?,Canada,Australia,United Kingdom,New Zealand,Ireland,United Kingdom
3,Who is the brand ambassador of Viksit Bharat Buildathon 2025?,Rakesh Sharma,Kalpana Chawla,Group Captain Shubhanshu Shukla,Abhinandan Varthaman,Sunita Williams,Group Captain Shubhanshu Shukla
4,"Who is the author of the short-story collection “Heart Lamp”, which won the 2025 International Booker Prize?",Geetanjali Shree,Banu Mushtaq,Perumal Murugan,Deepa Bhasthi,Daisy Rockwell,Banu Mushtaq
5,Which was the first major Indian bank to become a signatory to the Partnership for Carbon Accounting Financials (PCAF)?,Punjab National Bank (PNB),Indian Overseas Bank (IOB),Karnataka Bank,Union Bank of India (UBI),CSB Bank,Union Bank of India (UBI)
6,"Apart from the Ministry of Finance, which other ministry is headed by Nirmala Sitharaman?",Ministry of Home Affairs,Ministry of Defence,Ministry of External Affairs,Ministry of Corporate Affairs,Ministry of Commerce & Industry,Ministry of Corporate Affairs
7,Where was the United Nations Troop Contributing Countries (UNTCC) Chiefs Conclave 2025 hosted by the Indian Army?,Mumbai,Bengaluru,Hyderabad,New Delhi,Kolkata,New Delhi
8,The IUCN World Conservation Congress is held once in how many years?,2 years,3 years,4 years,5 years,10 years,4 years
9,What is the maximum age limit for enrollment under the Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY)?,50 years,55 years,60 years,65 years,70 years,50 years
10,What was India’s rank in the medal tally at the World Para Athletics Championships 2025?,5th,7th,8th,9th,10th,10th
11,To what amount has the auto-claim limit of EPFO been raised in 2025?,₹ 1 lakh,₹ 2 lakh,₹ 3 lakh,₹ 5 lakh,₹ 10 lakh,₹ 5 lakh
12,Johor Cup is associated with which sport?,Football,Hockey,Badminton,Table Tennis,Lawn Tennis,Hockey
13,Which of the following item was recently brought under the 18% GST slab after revision?,Two-wheelers (up to 350 cc),Small cars,Cement,Air-conditioners,All of the given options,All of the given options
14,The Omkareshwar Floating Solar Power Project is located in which Indian state?,Gujarat,Maharashtra,Madhya Pradesh,Rajasthan,Karnataka,Madhya Pradesh
15,Who is the highest goal scorer in international football history?,Lionel Messi,Sunil Chhetri,Ali Daei,Neymar Jr,Cristiano Ronaldo,Cristiano Ronaldo
16,How many digits are there in a UDIN (Unique Document Identification Number) issued by ICAI?,10,12,14,16,18,18
17,"The Self Help Group (SHG)– India’s microfinance initiative, was launched by which institution?",RBI,SIDBI,NABARD,Ministry of Finance,SBI,NABARD
18,BRO’s Project Himank is primarily associated with the construction and maintenance of roads around which pass?,Khardung La,Zoji La,Rohtang Pass,MIG La,Nathu La,MIG La
19,Pochampally (famous for Ikat sarees) received the Geographical Indication (GI) tag from which state?,Andhra Pradesh,Telangana,Karnataka,Tamil Nadu,Odisha,Telangana
20,Who is the second longest-serving Prime Minister of India (by continuous tenure)?,Jawaharlal Nehru,Indira Gandhi,Atal Bihari Vajpayee,Narendra Modi,Manmohan Singh,Narendra Modi
21,What is the name of the biometric-enabled digital service for pensioners that issues a digital life certificate?,DigiPension,Jeevan Pramaan,LifeCert,Pension Aadhaar,PramaanSeva,Jeevan Pramaan
22,In which year was the National Security Guard (NSG) formally constituted?,1984,1985,1986,1987,1988,1986
23,Where was India’s first commercial nuclear power plant commissioned?,Kalpakkam (Tamil Nadu),Kakrapar (Gujarat),Narora (Uttar Pradesh),Tarapur (Maharashtra),Rajasthan (Rawatbhata),Tarapur (Maharashtra)
24,Which Indian state has the highest number of operational Special Economic Zones (SEZs)?,Maharashtra,Karnataka,Tamil Nadu,Telangana,Gujarat,Tamil Nadu
25,On which date is International (UN) Human Solidarity Day observed?,10 December,15 December,18 December,20 December,24 December,20 December
26,"The tenure of which state assembly will be over in 2026 (i.e., assembly elections expected in 2026)?",Uttar Pradesh,West Bengal,Bihar,Odisha,Gujarat,West Bengal
27,In which year did the National Pension System (NPS) start/come into effect for new recruits?,1999,2002,2004,2007,2010,2004
28,SCORES (the investor grievance redressal platform) is operated by which body?,RBI,SEBI,IRDAI,MCA,PFRDA,SEBI
29,Betla National Park is located in which Indian state?,Chhattisgarh,Odisha,Jharkhand,Madhya Pradesh,Bihar,Jharkhand
30,For how many years is a country elected to the UN Human Rights Council (UNHRC) per term?,1 year,2 years,3 years,4 years,5 years,3 years
31,Which was the first mutual fund established in India?,SBI Mutual Fund,UTI (Unit Trust of India),LIC Mutual Fund,ICICI Prudential Mutual Fund,HDFC Mutual Fund,UTI (Unit Trust of India)
32,"In the expansion ""NHIS"" used for the household survey in India, what does the letter 'H' stand for?",Health,Household,Human,Housing,Household/Human (both acceptable),Household
33,Which of the following is NOT a financial-inclusion scheme?,Pradhan Mantri Jan Dhan Yojana (PMJDY),Pradhan Mantri MUDRA Yojana (PMMY),Atal Pension Yojana (APY),Make in India,All are financial-inclusion schemes except one,Make in India
34,Which organisation was incorporated by ISRO in 1992 to handle its commercial activities?,ISAC,NSIL,Antrix Corporation,DRDO,IN-SPACe,Antrix Corporation
