Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
1,Which organisations have partnered to launch an IoT-enabled loan model for shrimp farmers in Andhra Pradesh?,"NABARD, Andhra Pradesh Grameena Bank & Aqua Exchange Agritech Pvt. Ltd.",State Bank of India & Blue Revolution Mission,NABARD & National Fisheries Development Board,ICICI Bank & Marine Products Export Development Authority,Andhra Pradesh Government & Aqua Solutions Pvt. Ltd.,"NABARD, Andhra Pradesh Grameena Bank & Aqua Exchange Agritech Pvt. Ltd."
2,What is the IMF's revised GDP growth forecast for India for FY26 and FY27?,6.1%,6.5%,6.4%,6.2%,6.8%,6.4%
3,What was the year-on-year percentage increase in RBI’s Digital Payments Index (DPI) as of March 2025?,8.3%,9.1%,10.7%,11.5%,12.0%,10.7%
4,What is the minimum assessed net worth required for UCBs to expand beyond their state under ECBA norms?,Rs.25 crore,Rs.50 crore,Rs.40 crore,Rs.75 crore,Rs.80 crore,Rs.50 crore
5,What is the main objective of the ‘Gyan Bharatam Mission (GBM)’ announced by Prime Minister Narendra Modi?,Promoting Sanskrit education in schools,Establishing new central universities,Digitising and conserving ancient Indian manuscripts,Training scholars in Vedic literature,Creating AI tools for cultural heritage,Digitising and conserving ancient Indian manuscripts
6,Which Indian cricketer became the first captain to score four centuries in his debut Test series during the 2025 series against England?,Rohit Sharma,KL Rahul,Rishabh Pant,Shubman Gill,Hardik Pandya,Shubman Gill
7,Who has been appointed as the first Indian-origin CEO of Procter & Gamble (P&G)?,Shailesh Jejurikar,Raj Subramaniam,Sundar Pichai,Arvind Krishna,Satya Nadella,Shailesh Jejurikar
8,Where is the Ministry of Defence establishing a state-of-the-art testing facility under the Defence Testing Infrastructure Scheme (DTIS)?,Coimbatore,Hyderabad,Pune,Bengaluru,Tiruchirappalli,Tiruchirappalli
9,Who won the 70th edition of the Belgian Grand Prix held at Circuit de Spa- Francorchamps in 2025?,Max Verstappen,Lewis Hamilton,Charles Leclerc,Lando Norris,Oscar Piastri,Oscar Piastri
10,Under which scheme is the Indian government installing 25 crore smart meters across the country?,SAUBHAGYA,UDAY,RDSS,IPDS,PM Kusum,RDSS
11,"How many medals did India win at the FISU World University Games 2025 held in Rhine-Ruhr, Germany?",8 medals,10 medals,12 medals,15 medals,26 medals,12 medals
12,What is the title of Kiran Desai’s new novel that made it to the Booker Prize 2025 longlist?,The Inheritance of Loss,The Story of Sonia and Sunny,The Loneliness of Sonia and Sunny,Indians in America,Echoes of Silence,The Loneliness of Sonia and Sunny
13,Where were the Global Tiger Day 2025 celebrations held and what major initiatives were announced by the Environment Minister?,Jim Corbett National Park,Sundarbans Tiger Reserve,Kanha National Park,"National Zoological Park, Delhi",Ranthambore Tiger Reserve,"National Zoological Park, Delhi"
14,"What is the purpose of the COP-33 Cell established by the Ministry of Environment, Forest and Climate Change (MoEFCC)?",Managing biodiversity data,Overseeing India’s forest certification,Preparing for the COP-33 UN Climate Conference,Coordinating with international wildlife bodies,Monitoring air quality across metros,Preparing for the COP-33 UN Climate Conference
15,Which tribal community performs the 40-day dance-drama festival called Gavri in southern Rajasthan?,Meena,Sahariya,Garasia,Bhil,Damor,Bhil
16,"What is the name of the first AI language model being developed specifically for Latin America, and who is leading the initiative?",Andes-AI,Latam-GPT,HispanoAI,PanLat-AI,CENIA-AI,Latam-GPT
17,What new educational modules is NCERT introducing in school curricula?,Digital coding and robotics,Global literature and arts,Ancient civilizations of Asia,Space mission & Operation Sindoor,Financial literacy and banking basics,Space mission & Operation Sindoor
18,Which Indian tiger reserve now has the third-highest density of tigers globally as per 2024 data?,Bandipur Tiger Reserve,Jim Corbett Tiger Reserve,Kaziranga Tiger Reserve,Nagarhole Tiger Reserve,None of these,Kaziranga Tiger Reserve
19,What was the codename of the joint anti-terror operation launched in Jammu and Kashmir that eliminated the mastermind of the Pahalgam attack?,Operation Rakshak,Operation Kargil,Operation Snow Leopard,Operation Trinetra,Operation Mahadev,Operation Mahadev
20,What is the objective of the SPARSH Pension System launched by the Ministry of Defence?,Managing pensions for state government employees,Automating salaries for paramilitary forces,Disbursing pensions for defence personnel,Providing insurance cover to armed forces,Funding veterans’ welfare programs,Disbursing pensions for defence personnel
21,"What is the role of the National Crisis Management Committee (NCMC) as per the amended Disaster Management Act, 2025?",Conducting financial audits of disaster relief funds,Overseeing drought relief in rural areas,Coordinating national disaster response efforts,Managing rural employment schemes,Supervising health policies during pandemics,Coordinating national disaster response efforts
22,"As per Finance Ministry data (June 2025), which bank holds the highest amount of unclaimed deposits in India?",Punjab National Bank,ICICI Bank,State Bank of India,Bank of Baroda,HDFC Bank,State Bank of India
